date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:55	27132/27132	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f10-69fc-54d4b0f97e82a%22	http://risotto.mycookroom.ru/1.0.8/shop-checkout.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/shop-checkout.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:56	21096/21096	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f11-5268-54d4b0f99b51a%22	http://risotto.mycookroom.ru/1.0.8/shop-checkout-completed.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/shop-checkout-completed.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:56	25991/25991	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f0e-6587-54d4b0f917f8a%22	http://risotto.mycookroom.ru/1.0.8/shop-cart.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/shop-cart.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:57	20949/20949	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f0f-51d5-54d4b0f93c1aa%22	http://risotto.mycookroom.ru/1.0.8/shop-cart-empty.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/shop-cart-empty.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:57	30569/30569	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f46-7769-54d4b0fb1f80a%22	http://risotto.mycookroom.ru/1.0.8/blog-2.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/blog-2.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:57	30554/30554	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f45-775a-54d4b0fac990a%22	http://risotto.mycookroom.ru/1.0.8/blog.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/blog.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:58	30450/30450	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f47-76f2-54d4b0fb2f20a%22	http://risotto.mycookroom.ru/1.0.8/blog-single.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/blog-single.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:58	24617/24617	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f48-6029-54d4b0fb7e3aa%22	http://risotto.mycookroom.ru/1.0.8/components-accordions.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-accordions.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:59	24970/24970	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f49-618a-54d4b0fb8f132%22	http://risotto.mycookroom.ru/1.0.8/components-buttons.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-buttons.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:59	23819/23819	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f4b-5d0b-54d4b0fbee88a%22	http://risotto.mycookroom.ru/1.0.8/components-counters.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-counters.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:35:59	23295/23295	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f4a-5aff-54d4b0fbdee8a%22	http://risotto.mycookroom.ru/1.0.8/components-clients.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-clients.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:00	22371/22371	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f4d-5763-54d4b0fc49992%22	http://risotto.mycookroom.ru/1.0.8/components-featuresbox.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-featuresbox.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:00	27670/27670	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f4e-6c16-54d4b0fcac3b2%22	http://risotto.mycookroom.ru/1.0.8/components-forms.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-forms.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:01	24335/24335	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f4f-5f0f-54d4b0fcbb9ca%22	http://risotto.mycookroom.ru/1.0.8/components-grid.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-grid.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:01	22315/22315	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f50-572b-54d4b0fd09012%22	http://risotto.mycookroom.ru/1.0.8/components-iconboxes.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-iconboxes.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:01	105776/105776	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f55-19d30-54d4b0fd3eb72%22	http://risotto.mycookroom.ru/1.0.8/components-icons-font-awesome.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-icons-font-awesome.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:02	56917/56917	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f4c-de55-54d4b0fc58faa%22	http://risotto.mycookroom.ru/1.0.8/components-elegant-icon.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-elegant-icon.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:02	23239/23239	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f56-5ac7-54d4b0fd6d972%22	http://risotto.mycookroom.ru/1.0.8/components-modules.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-modules.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
